breed,breed_info_text
pomeranian,"Descended from large sled dog breeds, the now-tiny Pomeranian has a long and interesting history. The foxy-faced dog, nicknamed “the little dog who thinks he can,” is compact, active, and capable of competing in agility and obedience or simply being a family friend."
pomsky,"Cute, silly, and suited for apartment life, the Pomsky is a dog who likes to be the center of attention, and with their adorable looks and playful antics, they often get the adoration they crave."
poochon,"The Poochon is a mixed breed dog–a cross between the Toy Poodle and Bichon Frise dog breeds. Small, happy, and intelligent, these pups inherited some of the best qualities from both of their parents. Researching their parents can offer much insight into their personalities and characteristics."
poodle,"Elegant. Proud. Clever. The Poodle is an impressive dog, as the many best-in-show winners from this dog breed can attest. But behind the blue ribbons, impressive hairdos, and regal attitude, you’ll find an affectionate family dog with an ancient history and many talents."
portuguese-podengo-pequeno,"The Portuguese Podengo Pequeno is a purebred dog from Portugal and is the smallest of the three Portuguese Podengo size classes that are not interbred. Alert, lively, and playful, these pooches are a compact-but-charming bunch to be around."
portuguese-pointer,"The Portuguese Pointer is a dog breed from the Iberian Peninsula of Portugal, and their origins date all the way back to the 12th century. Officially classified as a sporting dog, they also fit into the bird dog categories. Originally bred for falconry work with the royals, the Portuguese Pointer is a versatile dog and is also considered by many to be the ultimate gun dog."
portuguese-sheepdog,"In Portugal, people call the Portuguese Sheepdog “cão da Serra de Aires,” which is the name of a mountain range in the breed’s native land.  They’re also nicknamed “cão macaco,” which translates to “monkey dog,” due to the breed’s habit for making quizzical expressions that remind people of monkeys."
portuguese-water-dog,"Portuguese Water Dogs once served as crew on fishing trips, retrieving lost gear and herding fish into nets."
pug,"The Pug is often described as a lot of dog in a small space. These sturdy, compact dogs are a part of the American Kennel Club’s Toy group, and are known as the clowns of the canine world because they have a great sense of humor and like to show off."
pugalier,"The Pugalier is a mixed breed dog — a cross between the Pug and Cavalier King Charles Spaniel dog breeds. Small, adorable, and loyal, these pups inherited some of the best qualities from both of their parents."
puggle,"The Puggle is a hybrid or mixed breed dog — a cross between the Beagle and Pug breeds. They’ve become fairly popular, thanks to their fun-loving personality and cute looks."
puginese,"The Puginese is a mixed breed dog–a cross between the Pug and Pekingese dog breeds. Affectionate, sensitive, and independent, these pups inherited some of the best traits from both of their parents."
puli,"Best known for their long, corded coat resembling dreadlocks, the Puli is a hardworking herding dog and family companion. Energetic and lively, this mop-like dog breed hailing from Hungary appears much larger than they are due to that distinctive coat."
pyredoodle,"The Pyredoodle is a mixed breed dog–a cross between the Great Pyrenees and Standard Poodle dog breeds. Calm, fearless, and loyal, these pups inherited some of the best traits from both of their parents."
pyrenean-mastiff,"The Pyrenean Mastiff, also known as Mastín del Pirineo, comes from northeastern Spain. The exact origin of the breed is unknown, but it is speculated to have evolved from Molossers. Humans relied on them to be guardians and protectors of livestock."
pyrenean-shepherd,"These lean but muscular dogs have breathtaking speed, grace, and intelligence. The Pyrenean Shepherd’s passion for their family is matched only by their passion for work, and parents of this dog breed should be prepared to give their dogs a job to do, whether it’s a competitive dog sport or a flock of sheep to boss around."
rat-terrier,"Members of the Rat Terrier dog breed are adorable, little, digging escape artists who are true terriers: feisty, funny, energetic, lively, vermin-chasing, and incapable of being boring. Stubborn as all get out, they are not big on pleasing people, but the people who love them laugh all the time."
redbone-coonhound,"The Redbone Coonhound dog breed is a medium-sized hound who has a gorgeous red coat, the pleading expression common to hounds everywhere, and a sweet voice that sings out when they’re on the hunt. However, they also bark a lot when they’re not on the hunt, and take a lot of patience to train."
rhodesian-ridgeback,"The handsome Rhodesian Ridgeback dog breed was created in Africa to be a versatile hunter and home guardian. These days, They’re less likely to hunt lions and more likely to hunt a soft spot on the sofa after going jogging with you."
rottador,"The Rottador is a mixed breed dog–a cross between the Rottweiler and Labrador Retriever dog breeds. Large, energetic, and loyal, these pups inherited some of the best qualities from both of their parents."
rottle,"The Rottle is a mixed breed dog — a cross between the Rottweiler and Poodle dog breeds. Playful, intelligent, and eager to please, these pups inherited some of the best qualities from both of their parents."
rottweiler,The Rottweiler was originally dogs bred to drive cattle to market. Later they were used to pull carts for butchers. They were among the earliest police dogs and serve with honor in the military.
saint-berdoodle,"The Saint Berdoodle is a mixed breed dog — a cross between the Saint Bernard and Poodle dog breeds. Friendly, intelligent, and loyal, Saint Berdoodles are great family dogs."
saint-bernard,Originally the Saint Bernard dog breed guarded the grounds of Switzerland’s Hospice Saint Bernard as well as to help find and save lost and injured travelers.
saluki,"One of the oldest of dog breeds, Salukis were once considered a gift from Allah. They’re fast as the wind, skinny as a supermodel, and quietly devoted to their people."
samoyed,"Originally bred to hunt, haul sledges, and herd reindeer, the Samoyed dog breed proved a valuable companion for northwestern Siberia’s Samoyede people. Among the breed’s duties: pack hiking, tracking, and warming their owners by sleeping on top of them at night."
samusky,"The Samusky is a mixed breed dog–a cross between the Samoyed and the Siberian Husky dog breeds. Highly intelligent, loyal, and good-natured, these pups inherited some of the best qualities from both of their parents."
schipperke,"Curious and clever, the Schipperke dog breed is often nicknamed LBD, for little black devil. They’re fearless and devoted, always on guard to protect their family from harm."
schnoodle,"What a pistol! Smart, active, and adorable, the Schnoodle has become a popular hybrid dog breed. They’re a cross between the Poodle and the Schnauzer and can be found in many colors."
scottish-deerhound,"The original purpose of the Scottish Deerhound dog breed was to hunt and bring down the Scottish roe deer, a magnificent beast twice or more the dog’s size. Today, if the Scottish Deerhound were writing a personals ad, they’d say that they enjoy long walks, opportunities to run, regular meals, and a nice sofa to nap on."
scottish-terrier,"An independent and stubborn character, the Scottish Terrier dog breed is also quite sensitive to praise and blame. Independent, intelligent, and hilarious in their dignified seriousness, they’re a true terrier, which makes them an excellent watchdog."
sealyham-terrier,"The Sealyham Terrier dog breed was originally bred to hunt otters, foxes, and badgers. Today, these clowns of the terrier family are primarily companion dogs and a good choice for novice pet parents."
sheepadoodle,"The Sheepadoodle is a mixed breed dog — a cross between the Old English Sheepdog and Poodle dog breeds. Smart, playful, and loving, these pups inherited some of the best traits from both of their parents."
shepsky,"The Shepsky is a mixed breed dog–a cross between the German Shepherd and Siberian Husky dog breeds. Medium in size, energetic, and loyal, these pups inherited some of the best qualities from both of their parents."
shetland-sheepdog,"Canines of the Shetland Sheepdog dog breed stood guard for farmers in the Shetland Islands off the coast of Scotland, keeping hungry birds and sheep out of the farmer’s garden, and they served as herding dogs as well. Today they’re excellent family companions and superstars in dog sports."
shiba-inu,"The Shiba Inu dog breed was originally bred to flush birds and small game, and was occasionally used to hunt wild boar. They’re one of Japan’s six native breeds: Akita (large), Kishu, Hokkaido, Kai, Shikoku (medium), and Shiba (small)."
shichon,"The Shichon is a mixed breed dog–a cross between the Shih Tzu and the Bichon Frise dog breeds. Affectionate, intelligent, and outgoing, these pups inherited some of the best qualities from both of their parents."
shih-poo,"The Shih-Poo is a mixed breed dog — a cross between the Shih Tzu and Toy Poodle dog breeds. Small, hypoallergenic and cuddly companions, these pups inherited some of the best qualities from both of their parents."
shih-tzu,"The name “Shih Tzu” means little lion, but there’s nothing fierce about this dog breed. This pooch is a lover, not a hunter."
shiloh-shepherd,"The Shiloh Shepherd is an intelligent companion dog who responds well to training. Their gentle personality makes them excellent service dogs or therapy dogs. They’re very similar in appearance to a German Shepherd Dogs, but larger."
shiranian,"The Shiranian is a mixed breed dog — a cross between the Shih Tzu and Pomeranian breeds. Small, adorable, and loyal, these pups inherited some of the best qualities from both of their parents."
shollie,"The Shollie is a mixed breed dog — a cross between the German Shepherd Dog and Border Collie dog breeds. Intelligent, energetic, and loyal, these pups inherited some of the best qualities from both of their parents."
shorkie,"The Shorkie is a mixed breed dog — a cross between the Shih Tzu and Yorkshire Terrier dog breeds. Small, fierce, and loyal, these pups inherited some of the best qualities from both of their parents."
siberian-husky,"The Siberian Husky dog breed has a beautiful, thick coat that comes in a multitude of colors and markings. Their blue or multi-colored eyes and striking facial masks only add to the appeal of this breed, which originated in Siberia."
silken-windhound,"The Silken Windhound is an affectionate, playful, and eager-to-please dog breed. They’re easily trained and love their families, including those with small children and pets. In fact, their affectionate nature makes them poor watchdogs. That’s because they are likely to react to strangers with warm greetings instead of barks or growls."
silky-terrier,"The Silky Terrier dog breed exemplifies the expression “small dog, big personality.” Weighing just eight to ten pounds when full grown, they’re tough and confident, perhaps because of their heritage as a hunter of small prey."
skye-terrier,"The Skye Terrier is a medium-size dog breed developed on the Isle of Skye in Scotland. They were originally bred to hunt and kill badger, otter, and fox, but these days they’re appreciated as a versatile companion breed."
sloughi,"The Sloughi is a one-person or one-family dog breed who’s affectionate with their own people but aloof toward strangers. Like many hounds, their stubborn nature can make them too much of a handful for first-time dog parents."
small-munsterlander-pointer,"This Small Munsterlander Pointer dog breed is affectionate with family, kids, and other dogs alike. The excel at water retrieving, and if you’re not a hunter, you’ll need to find other ways to give them physical and mental exercise — they need plenty of both."
soft-coated-wheaten-terrier,"Sturdy and fun loving, the Soft Coated Wheaten Terrier dog breed is a friend to one and all. They’re relatively easygoing for a terrier, need a moderate amount of exercise, and can make a great family dog."
spanish-mastiff,"The Spanish Mastiff is a purebred working dog with an old history of serving as a guardians for sheep and livestock. Protective, loving, and calm, these gentle giants have become popular guard dogs and family pets alike."
spinone-italiano,"The Spinone Italiano is an energetic gun dog originally bred for hunting. Today, many spend their time as companion animals. Medium in size, loyal, and athletic, this dog would be great for an active family on the go."
springador,"The Springador is a mixed breed dog–a cross between the Springer Spaniel and Labrador Retriever dog breeds. Loyal, friendly and smart, these pups inherited some of the best qualities from both of their parents."
stabyhoun,"Affectionate and tolerant, the Stabyhoun hunting dog breed gets along with people, kids, and other pets. However, like all sporting breeds, they need a great deal of exercise to stay happy and calm. They excel at water retrieving in particular, but also enjoy other canine sports."
staffordshire-bull-terrier,"Although they were created in 19th-century Britain to be a small, fast fighting dog, those days are long past. The Staffordshire Bull Terrier dog breed of today is a fine companion known for their courage, intelligence, and love of children."
staffy-bull-bullmastiff,"The Staffy Bull Bullmastiff is a mixed breed dog — a cross between the Staffordshire Bull Terrier and the Bullmastiff breeds. Calm, devoted, and affectionate, these pups inherited some of the best qualities from both of their parents."
standard-schnauzer,"Standard Schnauzers were originally bred to be ratters, guard dogs, and all-purpose dogs on German farms. Their versatility, medium size, protective nature, and love of family make them an excellent companion dog breed."
sussex-spaniel,"Long and low, with a unique golden liver color, the Sussex Spaniel dog breed was developed in Sussex County, England, to flush birds into the air for hunters. They have a reputation for being slow and sedate, but they liven up when they scent birds."
swedish-lapphund,"The Swedish Lappund, also called the Swedish Lappie or just Lappie by enthusiasts, is a member of the Spitz family along with Siberian Huskies, Akitas, and Alaskan Malamutes."
swedish-vallhund,"True to their heritage as a working farm dog breed, the Swedish Vallhund is an intelligent and alert companion. They’re active dogs who need equally active pet parents."
taiwan-dog,"An ancient dog breed, the Taiwan Dog has been a loyal companion to humans for centuries. Although these versatile dogs are mostly found in their native country today, enthusiasm for the rare breed is rising."
terripoo,"The Terripoo is a cross between the Australian Terrier and the miniature Poodle. Intelligent, intuitive, and playful, these small dogs make excellent family pets."
texas-heeler,"The Texas Heeler is a mixed breed dog–a cross between the Australian Cattle Dog and Australian Shepherd dog breeds. Intelligent, hard-working, and energetic, these herding pups inherited some of the best qualities from both of their parents."
tibetan-mastiff,"This still-primitive Tibetan Mastiff dog breed was developed centuries ago in Tibet. Originally used as guard dogs for livestock and property, Tibetan Mastiffs can still be found performing that role, but they also enjoy life as family companions and show dogs."
tibetan-spaniel,"Small but active and alert, the Tibetan Spaniel dog breed hails from mountainous Tibet, where these dogs served as a companions and watchdogs. They’re known for their intelligence, easy-care coat, and desire to keep watch over their family from high perches in the house."
tibetan-terrier,The Tibetan Terrier was created to be a companion and friend. Dogs of this breed love being with people and are adaptable to a variety of homes and lifestyles. Their shaggy coat is attractive but requires frequent grooming.
toy-fox-terrier,"Originally created as a smaller version of their larger Smooth Fox Terrier dog breed ancestors, the Toy Fox Terrier has been used for a variety of tasks, serving as ratters on farms and as hunters of small game such as squirrel. Their most important purpose, however, is to be loyal, loving, and devoted companions who amuse and entertain their families."
transylvanian-hound,"The Transylvanian Hound isn’t a vampire, but it is a dog breed as ancient as the myth of blood-hungry monsters. The breed was popular among Hungarian royalty and hunters alike but almost went extinct in the early 20th century. However, enthusiasts revived the breed and made these dogs into the adaptable and loyal companions they are today."
treeing-tennessee-brindle,The Treeing Tennessee Brindle dog breed stands out among the hounds for their brindle coat. But their fans are more interested in their ability to send prey up a tree and hold it until the hunter arrives.
treeing-walker-coonhound,"The Treeing Walker Coonhound dog breed has a short, clear bark and a passion for the hunt. Some are shy, some are confident, but they’re all hounds — meaning, they need patient training and plenty of exercise."
valley-bulldog,"The Valley Bulldog is a mixed breed dog–a cross between the Boxer and English Bulldog breeds. Medium in size, active, and loyal, these pups inherited some of the best qualities from both of their parents"
vizsla,"Created in Hungary to work as a pointer and retriever, the Vizsla dog breed has an aristocratic bearing. All they really want, though, is to be loved."
weimaraner,"Originally bred as a gundog to handle big game like deer and bear, the Weimaraner, or “Silver Ghost,” was a highly sought-after dog breed in their native Germany. Today, these elegant but demanding dogs can still be found out on the hunting grounds. However, they can also make fine family friends if they get enough exercise."
welsh-springer-spaniel,"The Welsh Springer Spaniel dog breed was developed as a gundog to flush, or spring, game in the field. A faithful companion, they’re a favorite of discriminating hunters and families."
welsh-terrier,"The Welsh Terrier dog breed‘s zest for life is contagious, and they always enjoy themselves to the fullest. Bred to hunt independently, with all the self-determination and intelligence that entails, the happy and lively Welshie rarely gets tired and wants to spend their days having fun, fun, fun!"
west-highland-white-terrier,"The best way to describe the wee West Highland White Terrier dog breed from Scotland is simply to say that they’re so full of self-esteem that they know they’re the best thing around. Always on the lookout for a good time, they’ll make you laugh while they entertain themselves."
westiepoo,"The Westiepoo is a mixed breed dog — a cross between the West Highland White Terrier and Poodle dog breeds. Clever, active, and affectionate, these pups inherited some of the best qualities from both of their parents."
whippet,"The Whippet dog breed was a hunter’s best friend, speedily going after rabbits and other small game. Today the breed competes in agility, flyball, lure coursing, rally, and obedience and is a loving therapy dog."
whoodle,"The Whoodle is a mixed breed dog — a cross between the Soft-Coated Wheaten Terrier and Poodle dog breeds. Playful, friendly, and active, these pups inherited some of the best qualities from both of their parents."
wirehaired-pointing-griffon,"The Wirehaired Pointing Griffon is a happy and loving dog breed. They make excellent gundogs or family companions, and they suffers from comparatively few diseases. With their sense of humor and lively nature, they’re a good match for an energetic family looking for a dog to be part of their daily activities."
xoloitzuintli,The Xoloitzcuintli dog breed — sometimes called the Mexican Hairless or just Xolo — may well have descended from the first dogs to set paw on the North American continent.
yorkipoo,"A fun-loving “designer dog” — and therefore a mixed dog breed — a Yorkipoo is a cross between the Yorkshire Terrier and a Toy or Miniature Poodle. Intelligent, affectionate, and gentle, they make a delightful companion. They also fit in perfectly to apartment life, especially if you don’t mind the barking."
yorkshire-terrier,"Small in size but big in personality, the Yorkshire Terrier makes a feisty but loving companion. The most popular toy dog breed in the United States, the “Yorkie” has won many fans with their devotion to their owners, their elegant looks, and their suitability to apartment living."
